SKU/ Item Code,Item Name ,Second  Name ,Item Type,Item Category (Accounting),Category Name (Accounting),Disable on Regular Orders,Disable on Flexship
FLYER-OY2,Only For You Flyer (Deep Conditioner),,P,5,Samples and POP,T,T
0,0,0,S,8,Promotional Kits,,T
10012000,"Travel Size - Renew Shampoo, 2 oz.",,P,10,Promotional Items,,T
10018000,"Renew Shampoo, 8.0 oz.",6000000198,P,1,Products,,T
10022000,"Travel Size - Replenish Masque, 2 oz.",,P,10,Promotional Items,,T
10025000,"Replenish Masque, 5.0 oz.",6000000199,P,1,Products,,T
10034500,"Restore Leave-In Conditioner, 4.5 oz.",6000000200,P,1,Products,,T
1005-2.0-00,Revive Shampoo 2 oz. Travel Size,,P,1,Products,T,T
10052000,Travel Size - Revive Shampoo 2.0 oz.,,P,10,Promotional Items,,T
10058000,"Revive Shampoo, 8.0 oz.",6000000201,P,1,Products,,T
1006-2.0-00,Revitalize Conditioner 2.0 oz. Travel Size,,P,1,Products,T,T
10062000,"Travel Size - Revitalize Conditioner, 2.0 oz.",,P,10,Promotional Items,,T
10066000,"Revitalize Conditioner, 6.0 oz.",6000000202,P,1,Products,,T
10074500,"Reshape Root Lifter, 4.5 oz.",6000000076,P,1,Products,,T
10083000,"Travel Size-Refinish Control Hairspray, 3 oz.",,P,10,Promotional Items,,T
10092000,"Travel Size - IR Shampoo,  2 oz.",,P,10,Promotional Items,,T
10092500,"Intense Repair Treatment, 2.5 oz.",20020.2.5A,P,1,Products,,T
100934PA,Sample (10) IR Shampoo,,P,5,Samples and POP,,T
100934PKT,"Sample - IR Shampoo, 0.34oz.",20040..34A,P,5,Samples and POP,,T
10098000,"IR Shampoo, 8.0 oz.",20021.8.0A,P,1,Products,,T
10104500,"Tousled Texturizing Mist, 4.5 oz.",10104500,P,1,Products,,T
10110500,Travel Size - Rejuveniqe Oil Intensive 0.5oz.,,P,1,Products,,T
10111000,"Rejuveniqe Oil Intensive, 1.0 oz.",6000000277,P,11,Rejuveniqe,,T
10111001,Disable,,P,11,Rejuveniqe,T,T
10121700,Black Groom Styling Clay 1.7 oz.,1012-1.7-00,P,1,Products,,T
10138000,Men's 2 in 1 DISCONTINUED,,P,1,Products,T,T
10138002,"Black Men's 2-in-1, 8 oz.",20023.8.0A,P,1,Products,,T
10138100,"Refinish Control Hairspray, 8.0 oz.",20024.8.0B,P,1,Products,,T
10138200,"Restyle Sculpting Taffy, 1.7 oz.",1004-1.7-00,P,1,Products,,T
10138P,Promo Men's 2 in 1 Shampoo,,P,1,Products,T,T
10140000,VOLUME SYSTEM,6000000303,P,9,Systems,,T
10140100,VOLUME PRODUCTS + Rejuveniqe,,P,1,Products,T,T
10140200,VOLUME PRODUCTS + Intense Treatment,,P,1,Products,T,T
10140300,VOLUME PRODUCTS + Inte. Treatment + Rejuv. Oi,,P,1,Products,T,T
10141000,Volume Body System,,P,9,Systems,T,T
10142000,Volume Tame System,,P,9,Systems,T,T
10150000,HYDRATION SYSTEM,6000000304,P,9,Systems,,T
10150100,BALANCE PRODUCTS + Rejuveniqe,,P,1,Products,T,T
10150200,BALANCE PRODUCTS + Intense Treatment,,P,1,Products,T,T
10150300,BALANCE PRODUCTS + Int. Treatment + Rejuv. Oi,,P,1,Products,T,T
10151000,Balance Style System,,P,9,Systems,T,T
10152000,Balance Polish System,,P,9,Systems,,T
10156000,"BLACK Cream Shave, 6 oz.",1015-6.0-01,P,1,Products,,T
10160000,COMPLETE LINE OF PRODUCTS,,P,1,Products,T,T
10163400,"BLACK Aftershave + Moisturizer, 3.4 oz.",1016-3.4-00,P,1,Products,,T
10170000,CLASSIC CONFIDENCE SYSTEM,6000000305,P,9,Systems,,T
10170100,MEN LINE OF PRODUCTS + Rejuveniqe,,P,1,Products,T,T
1017200CC0,S3 Hair Supplement (60 Capsules),1017200CC0,P,1,Products,,T
10180000,MONAT Product Pack,,P,2,Product Pack,T,T
10181000,MONAT Product Pack A,,P,2,Product Pack,T,T
10182000,MONAT Product Pack B,,P,2,Product Pack,T,T
10183000,Canada Product Pack A,,P,2,Product Pack,T,T
10184000,Canada Product Pack B,,P,2,Product Pack,T,T
10184500,"Moxie Magnifying Mousse, 4.5 oz.",10184500,P,1,Products,,T
10185000,MONAT Success Product Pack,,P,2,Product Pack,T,T
10186000,MONAT Business Product Pack,,P,2,Product Pack,T,
10190000,MONAT Starter Kit V2,,P,3,Starter Kit,T,T
10192500,"More than a mist, 2.3 fl. Oz.",,P,1,Products,,T
10193500,"More than a Mist, 3.5 oz.Candle",,P,5,Samples and POP,,T
101REJUBRO,-----,,P,5,Samples and POP,T,T
101REJUPK,101 REJUVENIQE BROCHURE (10 PACK),,P,5,Samples and POP,T,T
10200000,MONAT Starter Kit,,P,3,Starter Kit,T,T
10201000,Monat Starter Kit Spanish,,P,3,Starter Kit,T,T
10204000,"The Champ Dry Shampoo, 4 oz.",6000000211,P,1,Products,,T
10210000,VIP Customer Registration,,S,4,VIP Customer Registr,,T
10214000,"OFY - Smoothing Deep Conditioner, 4 oz.",Only For You Version,P,1,Products,,T
10220000,Sample (10) Rejuveniqe,20060..50A,P,5,Samples and POP,,T
10221000,"Sample - Rejuveniqe,  0.05 oz.",20034..05A,P,5,Samples and POP,,T
10226000,"More than a Whip Body Butter, 6 oz.",,P,1,Products,,T
10230000,Dual Sample Shampoo/Conditioner Pack (10),Package of 10,P,5,Samples and POP,T,T
10231000,Dual Sample Shampoo/Conditioner Unit,Discontinued,P,5,Samples and POP,T,T
10234000,"OFY Blow Out Cream, 4 oz.",1023-4.0-00,P,1,Products,,T
10240000,Product Brochure Pack (10),Old version,P,5,Samples and POP,T,T
10241000,Product Brochure Unit,DISCONTINUED,P,5,Samples and POP,T,T
10242500,"OFY Thickening Spray, 2.5 oz.",,P,1,Products,,T
10250000,$600 per month Card (10),Package of 10,P,5,Samples and POP,T,T
1025034PKT,"Sample - IR Treatment Conditioner, 0.34 oz.",,P,5,Samples and POP,,T
10252000,"Travel Size - IR Conditioner, 2 oz.",,P,10,Promotional Items,,T
10256000,"IR Conditioner, 6 oz.",6000000206,P,1,Products,,T
10260000,MONAT Flash Drive,,P,5,Samples and POP,T,T
