SKU/ Item Code,Item Name ,Warehouse Number,Warehouse Name,Kit Line,Component Warehouse,Component Item Code,Component Quantity,on-the-fly kit 
100934PA,Sample (10) IR Shampoo,1,MONAT GLOBAL,1,1,100934PKT,10,T
100934PA,Sample (10) IR Shampoo,2,Monat Global Canadian Warehouse,1,2,100934PKT,10,T
10140000,VOLUME SYSTEM,1,MONAT GLOBAL,1,1,10066000,1,T
10140000,VOLUME SYSTEM,1,MONAT GLOBAL,2,1,10074500,1,T
10140000,VOLUME SYSTEM,1,MONAT GLOBAL,3,1,10058000,1,T
10140000,VOLUME SYSTEM,2,Monat Global Canadian Warehouse,1,2,10058000,1,T
10140000,VOLUME SYSTEM,2,Monat Global Canadian Warehouse,2,2,10066000,1,T
10140000,VOLUME SYSTEM,2,Monat Global Canadian Warehouse,3,2,10074500,1,T
10140000,VOLUME SYSTEM,6,United Kingdom Warehouse,1,6,10058000,1,
10140000,VOLUME SYSTEM,6,United Kingdom Warehouse,2,6,10066000,1,
10140000,VOLUME SYSTEM,6,United Kingdom Warehouse,3,6,10074500,1,
10140100,VOLUME PRODUCTS + Rejuveniqe,1,MONAT GLOBAL,1,1,10058000,1,T
10140100,VOLUME PRODUCTS + Rejuveniqe,1,MONAT GLOBAL,2,1,10066000,1,T
10140100,VOLUME PRODUCTS + Rejuveniqe,1,MONAT GLOBAL,3,1,10074500,1,T
10140100,VOLUME PRODUCTS + Rejuveniqe,1,MONAT GLOBAL,4,1,10111000,1,T
10140200,VOLUME PRODUCTS + Intense Treatment,1,MONAT GLOBAL,1,1,10058000,1,T
10140200,VOLUME PRODUCTS + Intense Treatment,1,MONAT GLOBAL,2,1,10066000,1,T
10140200,VOLUME PRODUCTS + Intense Treatment,1,MONAT GLOBAL,3,1,10074500,1,T
10140200,VOLUME PRODUCTS + Intense Treatment,1,MONAT GLOBAL,4,1,10092500,1,T
10140300,VOLUME PRODUCTS + Inte. Treatment + Rejuv. Oi,1,MONAT GLOBAL,1,1,10058000,1,T
10140300,VOLUME PRODUCTS + Inte. Treatment + Rejuv. Oi,1,MONAT GLOBAL,2,1,10066000,1,T
10140300,VOLUME PRODUCTS + Inte. Treatment + Rejuv. Oi,1,MONAT GLOBAL,3,1,10074500,1,T
10140300,VOLUME PRODUCTS + Inte. Treatment + Rejuv. Oi,1,MONAT GLOBAL,4,1,10111000,1,T
10140300,VOLUME PRODUCTS + Inte. Treatment + Rejuv. Oi,1,MONAT GLOBAL,5,1,10092500,1,T
10141000,Volume Body System,1,MONAT GLOBAL,1,1,10058000,1,T
10141000,Volume Body System,1,MONAT GLOBAL,2,1,10066000,1,T
10141000,Volume Body System,1,MONAT GLOBAL,3,1,10138200,1,T
10141000,Volume Body System,2,Monat Global Canadian Warehouse,1,2,10058000,1,T
10141000,Volume Body System,2,Monat Global Canadian Warehouse,2,2,10066000,1,T
10141000,Volume Body System,2,Monat Global Canadian Warehouse,3,2,10138200,1,T
10142000,Volume Tame System,1,MONAT GLOBAL,1,1,10058000,1,T
10142000,Volume Tame System,1,MONAT GLOBAL,2,1,10034500,1,T
10142000,Volume Tame System,1,MONAT GLOBAL,3,1,10138100,1,T
10142000,Volume Tame System,2,Monat Global Canadian Warehouse,1,2,10058000,1,T
10142000,Volume Tame System,2,Monat Global Canadian Warehouse,2,2,10034500,1,T
10142000,Volume Tame System,2,Monat Global Canadian Warehouse,3,2,10138100,1,T
10150000,HYDRATION SYSTEM,1,MONAT GLOBAL,1,1,10018000,1,T
10150000,HYDRATION SYSTEM,1,MONAT GLOBAL,2,1,10025000,1,T
10150000,HYDRATION SYSTEM,1,MONAT GLOBAL,3,1,10034500,1,T
10150000,HYDRATION SYSTEM,2,Monat Global Canadian Warehouse,1,2,10018000,1,T
10150000,HYDRATION SYSTEM,2,Monat Global Canadian Warehouse,2,2,10025000,1,T
10150000,HYDRATION SYSTEM,2,Monat Global Canadian Warehouse,3,2,10034500,1,T
10150000,HYDRATION SYSTEM,6,United Kingdom Warehouse,1,6,10018000,1,
10150000,HYDRATION SYSTEM,6,United Kingdom Warehouse,2,6,10025000,1,
