Item Code,Country Code,Item Name,Price Level,Selling Price,Qualifying Price,Taxable Price,Commission,Retails Commissions,Product Pack Bonus,Reail Value Volume,For Promotions
10012000,CAN,"Travel Size - Renew Shampoo, 2 oz.",1,0,0,0,0,0,0,0,0
10012000,CAN,"Travel Size - Renew Shampoo, 2 oz.",3,0,0,0,0,0,0,0,0
10012000,CAN,"Travel Size - Renew Shampoo, 2 oz.",9,0,0,0,0,0,0,0,0
10012000,USA,"Travel Size - Renew Shampoo, 2 oz.",1,0,0,0,0,0,0,0,0
10012000,USA,"Travel Size - Renew Shampoo, 2 oz.",3,0,0,0,0,0,0,0,0
10012000,USA,"Travel Size - Renew Shampoo, 2 oz.",9,0,0,0,0,0,0,0,0
10018000,CAN,"Renew Shampoo, 8.0 oz.",1,31,35,45,31,0,0,45,31
10018000,CAN,"Renew Shampoo, 8.0 oz.",2,45,35,45,31,14,0,45,45
10018000,CAN,"Renew Shampoo, 8.0 oz.",3,38,35,38,31,7,0,45,38
10018000,CAN,"Renew Shampoo, 8.0 oz.",9,0,0,0,0,0,0,0,0
10018000,GBR,"Renew Shampoo, 8.0 oz.",1,21,35,17.5,18,0,0,30,21
10018000,GBR,"Renew Shampoo, 8.0 oz.",2,30,35,25,18,7.5,0,30,30
10018000,GBR,"Renew Shampoo, 8.0 oz.",3,25,35,20.83,18,3.33,0,30,25
10018000,GBR,"Renew Shampoo, 8.0 oz.",9,0,0,0,0,0,0,0,0
10018000,USA,"Renew Shampoo, 8.0 oz.",1,24,35,35,24,0,0,35,24
10018000,USA,"Renew Shampoo, 8.0 oz.",2,35,35,35,24,11,0,35,35
10018000,USA,"Renew Shampoo, 8.0 oz.",3,30,35,30,24,6,0,35,30
10018000,USA,"Renew Shampoo, 8.0 oz.",9,0,0,0,0,0,0,0,0
10018000,USA,"Renew Shampoo, 8.0 oz.",15,12.25,0,12.25,0,0,0,0,12.25
10022000,CAN,"Travel Size - Replenish Masque, 2 oz.",1,4,3,4,0,0,0,0,4
10022000,CAN,"Travel Size - Replenish Masque, 2 oz.",3,4,3,4,0,0,0,0,4
10022000,CAN,"Travel Size - Replenish Masque, 2 oz.",9,0,0,0,0,0,0,0,0
10022000,USA,"Travel Size - Replenish Masque, 2 oz.",1,3,3,3,0,0,0,0,3
10022000,USA,"Travel Size - Replenish Masque, 2 oz.",3,3,3,3,0,0,0,0,3
10022000,USA,"Travel Size - Replenish Masque, 2 oz.",9,0,0,0,0,0,0,0,0
10025000,CAN,"Replenish Masque, 5.0 oz.",1,45,50,65,45,0,0,65,45
10025000,CAN,"Replenish Masque, 5.0 oz.",2,65,50,65,45,20,0,65,65
10025000,CAN,"Replenish Masque, 5.0 oz.",3,55,50,55,45,10,0,65,55
10025000,CAN,"Replenish Masque, 5.0 oz.",9,0,0,0,0,0,0,0,0
10025000,CAN,"Replenish Masque, 5.0 oz.",15,22.75,0,22.75,0,0,0,0,22.75
10025000,GBR,"Replenish Masque, 5.0 oz.",1,30,50,25,25,0,0,42,30
10025000,GBR,"Replenish Masque, 5.0 oz.",2,42,50,35,25,10,0,42,42
10025000,GBR,"Replenish Masque, 5.0 oz.",3,35,50,29.17,25,4.17,0,42,35
10025000,USA,"Replenish Masque, 5.0 oz.",1,35,50,50,35,0,0,50,35
10025000,USA,"Replenish Masque, 5.0 oz.",2,50,50,50,35,15,0,50,50
10025000,USA,"Replenish Masque, 5.0 oz.",3,43,50,43,35,8,0,50,43
10025000,USA,"Replenish Masque, 5.0 oz.",9,0,0,0,0,0,0,0,0
10025000,USA,"Replenish Masque, 5.0 oz.",15,17.5,0,17.5,0,0,0,0,17.5
10034500,CAN,"Restore Leave-In Conditioner, 4.5 oz.",1,30,33,43,30,0,0,43,30
10034500,CAN,"Restore Leave-In Conditioner, 4.5 oz.",2,43,33,43,30,13,0,43,43
10034500,CAN,"Restore Leave-In Conditioner, 4.5 oz.",3,36,33,36,30,6,0,43,36
10034500,CAN,"Restore Leave-In Conditioner, 4.5 oz.",9,0,0,0,0,0,0,0,0
10034500,CAN,"Restore Leave-In Conditioner, 4.5 oz.",15,15.05,0,15.05,0,0,0,0,15.05
10034500,GBR,"Restore Leave-In Conditioner, 4.5 oz.",1,24,33,20,20,0,0,35,24
10034500,GBR,"Restore Leave-In Conditioner, 4.5 oz.",2,35,33,29.17,20,9.17,0,35,35
10034500,GBR,"Restore Leave-In Conditioner, 4.5 oz.",3,29,33,24.17,20,4.17,0,35,29
10034500,USA,"Restore Leave-In Conditioner, 4.5 oz.",1,23,33,33,23,0,0,33,23
10034500,USA,"Restore Leave-In Conditioner, 4.5 oz.",2,33,33,33,23,10,0,33,33
10034500,USA,"Restore Leave-In Conditioner, 4.5 oz.",3,28,33,28,23,5,0,33,28
10034500,USA,"Restore Leave-In Conditioner, 4.5 oz.",9,0,0,0,0,0,0,0,0
10034500,USA,"Restore Leave-In Conditioner, 4.5 oz.",15,11.55,0,11.55,0,0,0,0,11.55
1005-2.0-00,USA,Revive Shampoo 2 oz. Travel Size,9,0,0,0,0,0,0,0,0
10052000,CAN,Travel Size - Revive Shampoo 2.0 oz.,1,4,3,4,0,0,0,0,4
10052000,CAN,Travel Size - Revive Shampoo 2.0 oz.,3,4,3,4,0,0,0,0,4
10052000,CAN,Travel Size - Revive Shampoo 2.0 oz.,9,0,0,0,0,0,0,0,0
10052000,USA,Travel Size - Revive Shampoo 2.0 oz.,1,3,3,3,0,0,0,0,3
10052000,USA,Travel Size - Revive Shampoo 2.0 oz.,3,3,3,3,0,0,0,0,3
10052000,USA,Travel Size - Revive Shampoo 2.0 oz.,9,0,0,0,0,0,0,0,0
10058000,CAN,"Revive Shampoo, 8.0 oz.",1,32,35,45,32,0,0,45,32
10058000,CAN,"Revive Shampoo, 8.0 oz.",2,45,35,45,32,13,0,45,45
10058000,CAN,"Revive Shampoo, 8.0 oz.",3,38,35,38,32,6,0,45,38
10058000,CAN,"Revive Shampoo, 8.0 oz.",9,0,0,0,0,0,0,0,0
10058000,CAN,"Revive Shampoo, 8.0 oz.",15,15.75,0,15.75,0,0,0,0,15.75
10058000,GBR,"Revive Shampoo, 8.0 oz.",1,21,35,17.5,18,0,0,30,21
10058000,GBR,"Revive Shampoo, 8.0 oz.",2,30,35,25,18,7.5,0,30,30
10058000,GBR,"Revive Shampoo, 8.0 oz.",3,25,35,20.83,18,3.33,0,30,25
10058000,USA,"Revive Shampoo, 8.0 oz.",1,25,35,35,25,0,0,35,25
10058000,USA,"Revive Shampoo, 8.0 oz.",2,35,35,35,25,10,0,35,35
10058000,USA,"Revive Shampoo, 8.0 oz.",3,30,35,30,25,5,0,35,30
10058000,USA,"Revive Shampoo, 8.0 oz.",9,0,0,0,0,0,0,0,0
10058000,USA,"Revive Shampoo, 8.0 oz.",15,12.25,0,12.25,0,0,0,0,12.25
1006-2.0-00,USA,Revitalize Conditioner 2.0 oz. Travel Size,9,0,0,0,0,0,0,0,0
10062000,CAN,"Travel Size - Revitalize Conditioner, 2.0 oz.",1,4,3,4,0,0,0,0,4
10062000,CAN,"Travel Size - Revitalize Conditioner, 2.0 oz.",3,4,3,4,0,0,0,0,4
10062000,CAN,"Travel Size - Revitalize Conditioner, 2.0 oz.",9,0,0,0,0,0,0,0,0
10062000,USA,"Travel Size - Revitalize Conditioner, 2.0 oz.",1,3,3,3,0,0,0,0,3
10062000,USA,"Travel Size - Revitalize Conditioner, 2.0 oz.",3,3,3,3,0,0,0,0,3
10062000,USA,"Travel Size - Revitalize Conditioner, 2.0 oz.",9,0,0,0,0,0,0,0,0
10066000,CAN,"Revitalize Conditioner, 6.0 oz.",1,43,47,61,43,0,0,61,43
10066000,CAN,"Revitalize Conditioner, 6.0 oz.",2,61,47,61,43,18,0,61,61
10066000,CAN,"Revitalize Conditioner, 6.0 oz.",3,52,47,52,43,9,0,61,52
10066000,CAN,"Revitalize Conditioner, 6.0 oz.",9,0,0,0,0,0,0,0,0
10066000,CAN,"Revitalize Conditioner, 6.0 oz.",15,21.35,0,21.35,0,0,0,0,21.35
10066000,GBR,"Revitalize Conditioner, 6.0 oz.",1,31,47,25.83,26,0,0,45,31
10066000,GBR,"Revitalize Conditioner, 6.0 oz.",2,45,47,37.5,26,11.67,0,45,45
10066000,GBR,"Revitalize Conditioner, 6.0 oz.",3,38,47,31.67,26,5.83,0,45,38
10066000,USA,"Revitalize Conditioner, 6.0 oz.",1,33,47,47,33,0,0,47,33
10066000,USA,"Revitalize Conditioner, 6.0 oz.",2,47,47,47,33,14,0,47,47
10066000,USA,"Revitalize Conditioner, 6.0 oz.",3,40,47,40,33,7,0,47,40
10066000,USA,"Revitalize Conditioner, 6.0 oz.",9,0,0,0,0,0,0,0,0
10066000,USA,"Revitalize Conditioner, 6.0 oz.",15,16.45,0,16.45,0,0,0,0,16.45
10074500,CAN,"Reshape Root Lifter, 4.5 oz.",1,30,33,43,30,0,0,43,30
10074500,CAN,"Reshape Root Lifter, 4.5 oz.",2,43,33,43,30,13,0,43,43
10074500,CAN,"Reshape Root Lifter, 4.5 oz.",3,36,33,36,30,6,0,43,36
10074500,CAN,"Reshape Root Lifter, 4.5 oz.",9,0,0,0,0,0,0,0,0
10074500,CAN,"Reshape Root Lifter, 4.5 oz.",15,15.05,0,15.05,0,0,0,0,15.05
10074500,GBR,"Reshape Root Lifter, 4.5 oz.",1,21,33,17.5,18,0,0,30,21
10074500,GBR,"Reshape Root Lifter, 4.5 oz.",2,30,33,25,18,7.5,0,30,30
10074500,GBR,"Reshape Root Lifter, 4.5 oz.",3,25,33,20.83,18,3.33,0,30,25
10074500,USA,"Reshape Root Lifter, 4.5 oz.",1,23,33,33,23,0,0,33,23
10074500,USA,"Reshape Root Lifter, 4.5 oz.",2,33,33,33,23,10,0,33,33
10074500,USA,"Reshape Root Lifter, 4.5 oz.",3,28,33,28,23,5,0,33,28
10074500,USA,"Reshape Root Lifter, 4.5 oz.",9,0,0,0,0,0,0,0,0
10074500,USA,"Reshape Root Lifter, 4.5 oz.",15,11.55,0,11.55,0,0,0,0,11.55
10083000,CAN,"Travel Size-Refinish Control Hairspray, 3 oz.",1,4,3,4,0,0,0,0,4
10083000,CAN,"Travel Size-Refinish Control Hairspray, 3 oz.",3,4,3,4,0,0,0,0,4
10083000,CAN,"Travel Size-Refinish Control Hairspray, 3 oz.",9,0,0,0,0,0,0,0,0
10083000,USA,"Travel Size-Refinish Control Hairspray, 3 oz.",1,3,3,3,0,0,0,0,3
10083000,USA,"Travel Size-Refinish Control Hairspray, 3 oz.",3,3,3,3,0,0,0,0,3
10083000,USA,"Travel Size-Refinish Control Hairspray, 3 oz.",9,0,0,0,0,0,0,0,0
